symbol
DISHTV-EQ
DBREALTY-EQ
GMDCLTD-EQ
SHILPAMED-EQ
VAKRANGEE-EQ
PARADEEP-EQ
AARTIDRUGS-EQ
BORORENEW-EQ
JPPOWER-EQ
RELINFRA-EQ
RPOWER-EQ
HCC-EQ
IBULHSGFIN-EQ
RAMRAT-EQ
LLOYDSENGG-EQ
SYRMA-EQ
TTML-EQ
CHENNPETRO-EQ
RAYMOND-EQ
LTF-EQ
SWSOLAR-EQ
IDEA-EQ
STLTECH-EQ
IOLCP-EQ
AWL-EQ
SWANENERGY-EQ
MSUMI-EQ
ALOKINDS-EQ
SUBEXLTD-EQ
MMTC-EQ
TIMETECHNO-EQ
MRPL-EQ
KRBL-EQ
LEMONTREE-EQ
SUMICHEM-EQ
NETWORK18-EQ
EDELWEISS-EQ
SONACOMS-EQ
JMFINANCIL-EQ
KIMS-EQ
AUBANK-EQ
HEG-EQ
JKLAKSHMI-EQ
CAMPUS-EQ
APTUS-EQ
BANDHANBNK-EQ
WELSPUNLIV-EQ
CGCL-EQ
INFIBEAM-EQ
KPIGREEN-EQ
LTFOODS-EQ
RBLBANK-EQ
DEVYANI-EQ
TRITURBINE-EQ
TANLA-EQ
ASTRAMICRO-EQ
INDIACEM-EQ
RELIGARE-EQ
ANANTRAJ-EQ
PCBL-EQ
NAM-INDIA-EQ
MOTILALOFS-EQ
NEWGEN-EQ
INDUSINDBK-EQ
RALLIS-EQ
ITDCEM-EQ
ZOMATO-EQ
SUNTECK-EQ
PGEL-EQ
